,订单号,应付金额,实际金额,商品,支付时间,地点,状态,提现
1,DD201708167493663555814061164,3.0,3.0,40g双汇玉米热狗肠,2017-01-01 01:33:00,A,已出货未退款,已提现
16,DD201708167493663388737478695,5.8,5.8,100g卫龙点心面黑椒牛排味,2017-01-01 19:29:00,A,已出货未退款,已提现
17,DD201708167493663381827746988,0.8,0.8,咪咪虾条马来西亚风味,2017-01-01 19:33:00,A,已出货未退款,已提现
20,DD201708167493683503095993712,3.0,3.0,250ml维他柠檬茶,2017-01-01 19:55:00,A,已出货未退款,已提现
22,DD2017081110292488D71D623E8F9,3.5,3.5,东鹏特饮,2017-01-01 20:18:00,A,已出货未退款,已提现
24,DD201708167493507701935975302,3.0,3.0,250ml维他柠檬茶,2017-01-01 20:25:00,A,已出货未退款,已提现
25,DD2017081018210213E80D235B1C8,3.0,3.0,卫龙大面筋,2017-01-01 20:25:00,A,已出货未退款,已提现
31,DD2017081110281595114AF30BC0D,3.5,3.5,东鹏特饮,2017-01-02 08:50:00,A,已出货未退款,已提现
34,DD201708167493662937167036721,1.5,1.5,卫龙亲嘴烧红烧牛肉味,2017-01-02 12:02:00,A,已出货未退款,已提现
37,DD2017052614372337DD5D9082B98,4.5,4.5,阿萨姆奶茶,2017-01-02 13:34:00,A,已出货未退款,已提现
43,DD201708167493000920097772300065,4.0,4.0,145ml旺仔牛奶盒装,2017-01-02 13:58:00,A,已出货未退款,已提现
49,DD2017052614334247A1D72F02E30,2.0,2.0,伊利优酸乳,2017-01-02 15:56:00,A,已出货未退款,已提现
74,DD201708167493507687358068274,4.5,4.5,2g韩国海牌海苔,2017-01-02 22:42:00,A,已出货未退款,已提现
75,DD20170811103326649396032790D,4.0,4.0,脉动,2017-01-02 22:42:00,A,已出货未退款,已提现
85,DD201708167493662547010881037,3.0,3.0,250ml维他柠檬茶,2017-01-03 09:50:00,A,已出货未退款,已提现
92,DD201708167493683259570660391,2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017-01-03 14:57:00,A,已出货未退款,已提现
94,DD2017052616223074032E215F6CA,3.0,3.0,可口可乐最新款,2017-01-03 15:10:00,A,已出货未退款,已提现
103,DD201708101523266884F6CA4C7E2,3.0,3.0,果粒橙,2017-01-03 15:44:00,A,已出货未退款,已提现
105,DD2017052709451011EA9B9EC6FD5,1.0,1.0,香豆干,2017-01-03 15:46:00,A,已出货未退款,已提现
111,DD201708167493661981689081319,4.5,4.5,78g卫龙亲嘴语辣条,2017-01-03 16:23:00,A,已出货未退款,已提现
112,DD2017081110210086E681CA92F1C,3.5,3.5,东鹏特饮,2017-01-03 16:24:00,A,已出货未退款,已提现
114,DD201708101516124130A4DB5AF4E,3.0,3.0,果粒橙,2017-01-03 16:25:00,A,已出货未退款,已提现
115,DD201708167493507242705902679,3.5,3.5,可乐可乐,2017-01-03 16:25:00,A,已出货未退款,已提现
120,DD20170816749300299790010723577,1.8,1.8,32g卫龙亲嘴烧,2017-01-03 20:24:00,A,已出货未退款,已提现
126,DD20170816749300338025192860536,6.0,6.0,250ml维他柠檬茶,2017-01-04 00:29:00,A,已出货未退款,已提现
134,DD201708167493669401533300035,8.0,8.0,80g四洲粟一烧烧烤味,2017-01-04 08:58:00,A,已出货未退款,已提现
139,DD20170816749366937728453747,7.0,7.0,86g合味道浓猪骨味,2017-01-04 09:00:00,A,已出货未退款,已提现
144,DD20170816749300412660581879242,6.0,6.0,330ml伊利畅意乳酸菌原味,2017-01-04 13:50:00,A,已出货未退款,已提现
157,DD2017081674930737246106122382,2.5,2.5,14g德芙巧克力,2017-01-05 14:54:00,A,已出货未退款,已提现
163,DD2017052616015557A759E716CE4,3.0,3.0,统一绿茶,2017-01-05 16:02:00,A,已出货未退款,已提现
170,DD20170816749300534426881343763,5.5,5.5,205g伊利安慕希原味,2017-01-05 18:51:00,A,已出货未退款,已提现
176,DD20170816749300611174425309235,8.0,8.0,80g四洲粟一烧烧烤味,2017-01-06 14:02:00,A,已出货未退款,已提现
177,DD20170816749300614029741880517,3.5,3.5,维他奶黑豆奶饮品,2017-01-06 14:58:00,A,已出货未退款,已提现
180,DD201708167493682994064320077,6.0,6.0,86g合味道海鲜风味,2017-01-06 22:34:00,A,已出货未退款,已提现
183,DD2017081674930696695888931413,3.5,3.5,250ml燕塘原味酸奶,2017-01-07 09:02:00,A,已出货未退款,已提现
196,DD2017081674930076770654029149,4.0,4.0,450ml美汁源果粒橙,2017-01-08 12:09:00,A,已出货未退款,已提现
198,DD20170816749300778398135196323,5.0,5.0,500ml统一阿萨姆奶茶,2017-01-08 12:36:00,A,已出货未退款,已提现
199,DD20170816749300784316624642422,6.0,6.0,250ml维他奶低糖原味,2017-01-08 12:47:00,A,已出货未退款,已提现
201,DD20170816749368291864635726,6.0,6.0,13g无穷烤鸡小腿蜂蜜味,2017-01-08 13:05:00,A,已出货未退款,已提现
202,DD201708167493668955425951654,2.0,2.0,85g新麦潮北海道吐司,2017-01-08 15:54:00,A,已出货未退款,已提现
207,DD2017060120342069B41A466BA7E,25.0,25.0,芙蓉王,2017-01-08 19:57:00,A,已出货未退款,已提现
215,DD201708167493845500463961625,5.5,5.5,268ml雀巢咖啡丝滑拿铁,2017-01-08 20:04:00,A,已出货未退款,已提现
227,DD2017081621352090B0418A99ED7,1.5,1.5,鸭翅,2017-01-08 20:13:00,A,已出货未退款,已提现
