,订单号,应付金额,实际金额,商品,支付时间,地点,状态,提现
4,DD201708167493759548618252006,3.0,3.0,600ml可口可乐,2017-01-01 09:41:00,B,已出货未退款,已提现
5,DD2017081016294251D0FA5D314F1,4.5,4.5,营养快线,2017-01-01 09:41:00,B,已出货未退款,已提现
8,DD20170526144916178D2B0429C26,3.0,3.0,茉莉蜜茶,2017-01-01 11:56:00,B,已出货未退款,已提现
26,DD20170526164305220F5FD19CC2B,3.0,3.0,可口可乐最新款,2017-01-01 20:25:00,B,已出货未退款,已提现
38,DD201708101628301024CCDCABC17,2.0,2.0,鸭翅,2017-01-02 13:34:00,B,已出货未退款,已提现
44,DD201708167493000977911129669717,4.5,4.5,500ml营养快线原味,2017-01-02 14:36:00,B,已出货未退款,已提现
47,DD2017081016005760A75384AE967,3.5,3.5,王老吉（罐）,2017-01-02 15:28:00,B,已出货未退款,已提现
55,DD201708167493662796458254074,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-02 17:03:00,B,已出货未退款,已提现
60,DD20170816749300152283248653128,3.5,3.5,250ml燕塘甜牛奶,2017-01-02 18:59:00,B,已出货未退款,已提现
63,DD20170816749300156131773605949,9.0,9.0,250ml燕塘原味酸奶,2017-01-02 20:03:00,B,已出货未退款,已提现
64,DD20170816749300168097665780486,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017-01-02 20:28:00,B,已出货未退款,已提现
69,DD201708167493954192317236818,2.5,2.5,伊利优酸乳,2017-01-02 21:18:00,B,已出货未退款,已提现
78,DD201708101552011255E431BA372,3.5,3.5,王老吉（罐）,2017-01-02 23:48:00,B,已出货未退款,已提现
80,DD20170816749300220148273130327,1.5,1.5,40g双汇玉米热狗肠,2017-01-03 01:52:00,B,已出货未退款,已提现
97,DD201708167493507597593656837,2.0,2.0,85g新麦潮手撕面包（提子味）,2017-01-03 15:20:00,B,已出货未退款,已提现
98,DD2017081017512019E13B6462016,2.5,2.5,伊利优酸乳,2017-01-03 15:20:00,B,已出货未退款,已提现
99,DD201708167493662294715490631,4.8,4.8,诗竹竹纤维面巾纸,2017-01-03 15:21:00,B,已出货未退款,已提现
101,DD201708167493662162234846149,6.0,6.0,250ml维他柠檬茶,2017-01-03 15:23:00,B,已出货未退款,已提现
104,DD201705261404541575F1DE88E86,3.0,3.0,威化饼干,2017-01-03 15:44:00,B,已出货未退款,已提现
106,DD2017081110325934E08DF1E7EC1,5.0,5.0,阿萨姆奶茶,2017-01-03 15:46:00,B,已出货未退款,已提现
108,DD2017052614041478A37F9CF8B31,4.0,4.0,营养快线,2017-01-03 16:17:00,B,已出货未退款,已提现
129,DD2017071815491717903C5EDF866,2.5,2.5,可口可乐330ml,2017-01-04 00:43:00,B,已出货未退款,已提现
131,DD20170816749300348663877578669,7.0,7.0,150g洽洽原香瓜子,2017-01-04 00:44:00,B,已出货未退款,已提现
133,DD2017081674930035983543728314,4.5,4.5,40g乐事薯片黄瓜味,2017-01-04 04:35:00,B,已出货未退款,已提现
151,DD20170816749300455319908496865,1.8,1.8,32g卫龙亲嘴烧,2017-01-04 22:33:00,B,已出货未退款,已提现
161,DD2017081110181727A2E7134E07A,3.0,3.0,怡宝纯净水,2017-01-05 15:51:00,B,已出货未退款,已提现
164,DD201708111011584894D0D01C5C4,5.0,5.0,阿萨姆奶茶,2017-01-05 16:02:00,B,已出货未退款,已提现
169,DD20170816749300518464427876252,4.5,4.5,250ml燕塘甜牛奶,2017-01-05 18:03:00,B,已出货未退款,已提现
171,DD20170816749300543510333771024,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-05 19:51:00,B,已出货未退款,已提现
172,DD20170816749300561780175929282,0.6,0.6,20g咪咪虾条马来西亚风味,2017-01-05 20:08:00,B,已出货未退款,已提现
178,DD201708167493187013803098618,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-06 16:56:00,B,已出货未退款,已提现
179,DD2017083112062385D2D8508EAB4,4.0,4.0,营养快线,2017-01-06 17:40:00,B,已出货未退款,已提现
181,DD2017081674930064467529463178,4.0,4.0,450ml美汁源果粒橙,2017-01-06 23:17:00,B,已出货未退款,已提现
182,DD20170816749300660590292005947,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-07 08:59:00,B,已出货未退款,已提现
192,DD20170816749300717338982713,5.0,5.0,85g统一老坛酸菜牛肉面,2017-01-07 18:14:00,B,已出货未退款,已提现
193,DD20170816749300742499370964588,2.0,2.0,85g新麦潮北海道吐司,2017-01-08 09:12:00,B,已出货未退款,已提现
200,DD20170816749300795043017073937,2.5,2.5,250ml维他柠檬茶,2017-01-08 12:49:00,B,已出货未退款,已提现
204,DD201708167493232951608628311,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017-01-08 19:54:00,B,已出货未退款,已提现
205,DD201708167493954507533325107,1.5,1.5,香脆肠,2017-01-08 19:54:00,B,已出货未退款,已提现
208,DD20170816749352952971861448,6.5,6.5,430g泰奇八宝粥,2017-01-08 19:57:00,B,已出货未退款,已提现
209,DD201706012031356841DE45CB2AD,6.0,6.0,红牛,2017-01-08 19:57:00,B,已出货未退款,已提现
212,DD20170816205246201C412D745E2,3.0,3.0,芬达330ml,2017-01-08 20:02:00,B,已出货未退款,已提现
213,DD2017060120471628CE832C32F0B,3.0,3.0,统一冰红茶,2017-01-08 20:03:00,B,已出货未退款,已提现
228,DD20170601211213739384DD88267,6.0,6.0,红牛,2017-01-08 20:13:00,B,已出货未退款,已提现
230,DD20170816749373549732663964,3.5,3.5,维他原味豆奶,2017-01-08 20:15:00,B,已出货未退款,已提现
231,DD2017081621573918C354FF467CD,3.0,3.0,怡宝纯净水,2017-01-08 20:15:00,B,已出货未退款,已提现
236,DD201708162206557068091CE19A3,3.5,3.5,统一绿茶,2017-01-08 20:22:00,B,已出货未退款,已提现
245,DD201708167493529868800092623,1.5,1.5,劲仔小鱼（卤香味）,2017-01-08 20:32:00,B,已出货未退款,已提现
246,DD2017060121331074F1794E4A25B,3.0,3.0,维他奶,2017-01-08 20:32:00,B,已出货未退款,已提现
249,DD201708167493847814827171603,4.5,4.5,50g上好佳日式鱼果,2017-01-08 20:34:00,B,已出货未退款,已提现
252,DD2017060121564084EAA7A4A4B45,6.0,6.0,安慕希酸奶,2017-01-08 20:37:00,B,已出货未退款,已提现
257,DD20170601222214749D7B9BDBA09,1.5,1.5,香脆肠,2017-01-08 20:42:00,B,已出货未退款,已提现
258,DD2017060122235124B546F05D0E6,3.5,3.5,王老吉（罐）,2017-01-08 20:46:00,B,已出货未退款,已提现
261,DD2017060122305310D1D2FB7E540,4.0,4.0,阿萨姆奶茶,2017-01-08 20:49:00,B,已出货未退款,已提现
263,DD20170601225150489AD31565C02,2.5,2.5,可口可乐330ml,2017-01-08 20:52:00,B,已出货未退款,已提现
266,DD2017060122582537EBC7B080F0B,3.5,3.5,冰糖雪梨,2017-01-08 20:56:00,B,已出货未退款,已提现
269,DD201708167493529997285458358,5.5,5.5,统一来一桶香辣老坛酸菜牛肉面,2017-01-08 21:00:00,B,已出货未退款,已提现
270,DD201708170106118064413A79F4A,3.0,3.0,怡宝纯净水,2017-01-08 21:00:00,B,已出货未退款,已提现
272,DD2017081701083365D381ADBFC82,3.0,3.0,怡宝纯净水,2017-01-08 21:03:00,B,已出货未退款,已提现
274,DD201708167493848977881056171,3.0,3.0,250ml维他奶黑豆奶饮品,2017-01-08 21:04:00,B,已出货未退款,已提现
275,DD201708167493849016392973028,4.5,4.5,250ml燕塘原味酸奶,2017-01-08 21:05:00,B,已出货未退款,已提现
278,DD201708167493530016891001938,4.5,4.5,40g乐事美国经典原味,2017-01-08 21:10:00,B,已出货未退款,已提现
279,DD2017060123200236F26E95767C5,2.0,2.0,怡宝纯净水,2017-01-08 21:10:00,B,已出货未退款,已提现
289,DD2017060200003189FF0908B630F,4.0,4.0,脉动,2017-01-08 21:17:00,B,已出货未退款,已提现
293,DD2017060202155218D9E84695B9F,3.0,3.0,百事可乐500ml,2017-01-08 21:21:00,B,已出货未退款,已提现
295,DD201708170408192432843823778,3.0,3.0,可口可乐最新款,2017-01-08 21:22:00,B,已出货未退款,已提现
299,DD2017081704342066562C6C8E3F7,5.0,5.0,营养快线,2017-01-08 21:24:00,B,已出货未退款,已提现
300,DD2017081705115515BD1A35FBBBF,3.0,3.0,怡宝纯净水,2017-01-08 21:25:00,B,已出货未退款,已提现
303,DD201708167493735050315421801,3.5,3.5,500ml加多宝,2017-01-08 21:26:00,B,已出货未退款,已提现
304,DD201708170641547166F065422BA,5.0,5.0,王老吉（500ml）,2017-01-08 21:26:00,B,已出货未退款,已提现
305,DD201706020726053423798FC895C,3.5,3.5,东鹏特饮,2017-01-08 21:27:00,B,已出货未退款,已提现
314,DD201708167493530378725778943,3.0,3.0,250ml维他柠檬茶,2017-01-08 21:46:00,B,已出货未退款,已提现
315,DD201706020743104643FB8D5879C,1.5,1.5,香脆肠,2017-01-08 21:46:00,B,已出货未退款,已提现
