,订单号,应付金额,实际金额,商品,支付时间,地点,状态,提现
3,DD201708167493683507186615837,5.0,5.0,48g好丽友薯愿香烤原味,2017-01-01 09:05:00,C,已出货未退款,已提现
6,DD201708167493663534589050871,7.0,7.0,330ml伊利畅意乳酸菌原味,2017-01-01 10:02:00,C,已出货未退款,已提现
7,DD201708167493663526093267894,8.0,8.0,160g盼盼手撕面包,2017-01-01 11:33:00,C,已出货未退款,已提现
9,DD20170810162914447BA58EF3127,2.0,2.0,鸭翅,2017-01-01 11:56:00,C,已出货未退款,已提现
11,DD2017081674930612078044876854,3.0,3.0,40g双汇玉米热狗肠,2017-01-01 12:55:00,C,已出货未退款,已提现
12,DD2017083114403518C7B2A1F9252,3.0,3.0,怡宝,2017-01-01 18:42:00,C,已出货未退款,已提现
32,DD2017052708440399E66AE6DB8CF,4.0,4.0,阿萨姆奶茶,2017-01-02 08:50:00,C,已出货未退款,已提现
33,DD201708167493663011130083739,4.5,4.5,250ml燕塘甜牛奶,2017-01-02 11:55:00,C,已出货未退款,已提现
35,DD201708167493000663278607429762,3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017-01-02 13:04:00,C,已出货未退款,已提现
40,DD2017081016011883467623F969D,3.5,3.5,王老吉（罐）,2017-01-02 13:54:00,C,已出货未退款,已提现
45,DD2017071815335333C75998948C5,3.0,3.0,雪碧最新款,2017-01-02 14:37:00,C,已出货未退款,已提现
50,DD2017081015591510ED7D01323D6,3.5,3.5,王老吉（罐）,2017-01-02 15:56:00,C,已出货未退款,已提现
53,DD2017081674930011105441136533,2.0,2.0,5片装益达绿箭口香糖,2017-01-02 16:58:00,C,已出货未退款,已提现
54,DD2017081674930012276096686693,16.5,16.5,统一来一桶香辣老坛酸菜牛肉面,2017-01-02 16:59:00,C,已出货未退款,已提现
57,DD201708167493662701761209108,5.0,5.0,无穷农场盐_鸡蛋,2017-01-02 17:47:00,C,已出货未退款,已提现
59,DD201708167493662643691517202,5.6,5.6,250ml维他原味豆奶,2017-01-02 18:23:00,C,已出货未退款,已提现
61,DD201708167493344231000764383,3.5,3.5,250ml燕塘红枣牛奶,2017-01-02 19:02:00,C,已出货未退款,已提现
62,DD20170718154222745C87CCEB6CF,2.0,2.0,怡宝纯净水,2017-01-02 19:02:00,C,已出货未退款,已提现
70,DD201707181546471770D1B2A5CE1,2.0,2.0,怡宝纯净水,2017-01-02 21:18:00,C,已出货未退款,已提现
77,DD201708167493662623784257549,4.0,4.0,55g奥利奥原味芝士饼干,2017-01-02 23:03:00,C,已出货未退款,已提现
84,DD20170816749300246044712787463,4.5,4.5,加多宝,2017-01-03 09:49:00,C,已出货未退款,已提现
89,DD201708167493662320583621934,12.0,12.0,250ml维他柠檬茶,2017-01-03 12:28:00,C,已出货未退款,已提现
91,DD20170816749300268703071881026,9.0,9.0,四洲粟一烧烧烤味,2017-01-03 14:41:00,C,已出货未退款,已提现
93,DD201708167493683234318064291,3.5,3.5,丽芝士纳宝帝奶酪威化饼干,2017-01-03 15:08:00,C,已出货未退款,已提现
122,DD20170816749300306561526635662,4.8,4.8,2g韩国海牌海苔,2017-01-03 20:42:00,C,已出货未退款,已提现
125,DD20170816749300328757709785632,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-03 22:15:00,C,已出货未退款,已提现
127,DD2017071815484177F74520350CA,3.5,3.5,王老吉（罐）,2017-01-04 00:42:00,C,已出货未退款,已提现
142,DD20170816749300386477528802675,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017-01-04 13:15:00,C,已出货未退款,已提现
145,DD20170816749300417912595426162,1.5,1.5,12g劲仔小鱼麻辣味,2017-01-04 17:22:00,C,已出货未退款,已提现
146,DD201708167493344300158964747,4.5,4.5,250ml燕塘原味酸奶,2017-01-04 17:23:00,C,已出货未退款,已提现
147,DD2017071815495466F2A492542FA,3.5,3.5,王老吉（罐）,2017-01-04 17:23:00,C,已出货未退款,已提现
158,DD2017081674930049065228831826,3.0,3.0,旺仔牛奶145ml,2017-01-05 15:25:00,C,已出货未退款,已提现
165,DD20170816749300505519730193637,4.5,4.5,250ml燕塘原味酸奶,2017-01-05 16:11:00,C,已出货未退款,已提现
173,DD201708312137335908DD092A9E9,3.0,3.0,可口可乐最新款,2017-01-05 22:13:00,C,已出货未退款,已提现
175,DD20170816749300584521467264764,4.5,4.5,250ml燕塘甜牛奶,2017-01-06 04:09:00,C,已出货未退款,已提现
184,DD20170816749300661834525167426,2.8,2.8,145ml旺仔牛奶盒装,2017-01-07 13:01:00,C,已出货未退款,已提现
188,DD20170816749300679580989029282,34.0,34.0,188g澳门永辉鸡仔饼,2017-01-07 14:02:00,C,已出货未退款,已提现
191,DD20170816749300702509745568413,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017-01-07 15:14:00,C,已出货未退款,已提现
217,DD2017060120514812D43CAF70DC3,1.0,1.0,咪咪,2017-01-08 20:06:00,C,已出货未退款,已提现
219,DD201708167493235495816776406,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017-01-08 20:07:00,C,已出货未退款,已提现
220,DD2017060120544883EA923FE753A,2.0,2.0,怡宝纯净水,2017-01-08 20:07:00,C,已出货未退款,已提现
222,DD201708167493846161880196252,3.0,3.0,12g劲仔小鱼麻辣味,2017-01-08 20:09:00,C,已出货未退款,已提现
225,DD20170601210846397507C251A36,2.0,2.0,伊利优酸乳,2017-01-08 20:12:00,C,已出货未退款,已提现
232,DD20170601212346890C5851D3E88,4.0,4.0,阿萨姆奶茶,2017-01-08 20:15:00,C,已出货未退款,已提现
235,DD201708167493846958363111249,4.5,4.5,250ml燕塘原味酸奶,2017-01-08 20:20:00,C,已出货未退款,已提现
237,DD201708167493735277133325494,3.5,3.5,250ml燕塘原味酸奶,2017-01-08 20:22:00,C,已出货未退款,已提现
238,DD201708167493529849068514902,4.0,4.0,68g好丽友巧克力派2枚,2017-01-08 20:22:00,C,已出货未退款,已提现
239,DD2017060121320319CB03D23F5F4,2.5,2.5,伊利优酸乳,2017-01-08 20:22:00,C,已出货未退款,已提现
241,DD20170601213303131742CFF2173,2.0,2.0,怡宝纯净水,2017-01-08 20:23:00,C,已出货未退款,已提现
