,订单号,应付金额,实际金额,商品,支付时间,地点,状态,提现
0,DD201708167493663618499909784,4.5,4.5,68g好丽友巧克力派2枚,2017-01-01 00:53:00,D,已出货未退款,已提现
10,DD2017081674930611792937303584,5.0,5.0,85g统一老坛酸菜牛肉面,2017-01-01 12:53:00,D,已出货未退款,已提现
27,DD201705261444197833969DB2C08,6.0,6.0,红牛,2017-01-01 20:25:00,D,已出货未退款,已提现
36,DD201708167493000748411310035113,1.8,1.8,32g卫龙亲嘴烧,2017-01-02 13:27:00,D,已出货未退款,已提现
39,DD201708167493000823905948817982,3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017-01-02 13:35:00,D,已出货未退款,已提现
41,DD2017052614340330D7B5622C7D7,4.0,4.0,营养快线,2017-01-02 13:54:00,D,已出货未退款,已提现
46,DD201708167493954123262996203,3.0,3.0,维他奶,2017-01-02 14:37:00,D,已出货未退款,已提现
52,DD201708167493662825812423911,4.5,4.5,500ml加多宝,2017-01-02 16:22:00,D,已出货未退款,已提现
58,DD201708167493662676786033735,3.0,3.0,12g劲仔小鱼麻辣味,2017-01-02 18:16:00,D,已出货未退款,已提现
65,DD201708167493683390472048862,3.0,3.0,250ml维他柠檬茶,2017-01-02 20:53:00,D,已出货未退款,已提现
66,DD20170816749368329675770932,4.5,4.5,68g好丽友巧克力派2枚,2017-01-02 20:58:00,D,已出货未退款,已提现
67,DD20170816749300170462282213346,3.0,3.0,85g新麦潮北海道吐司,2017-01-02 21:04:00,D,已出货未退款,已提现
71,DD20170816749300212279543678028,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-02 21:21:00,D,已出货未退款,已提现
73,DD201708167493684200266227721,3.0,3.0,250ml维他原味豆奶,2017-01-02 21:50:00,D,已出货未退款,已提现
79,DD2017052614332115DD01B2A860B,4.0,4.0,银鹭八宝粥,2017-01-02 23:48:00,D,已出货未退款,已提现
100,DD20170816749366227330238578,7.5,7.5,雀巢咖啡,2017-01-03 15:22:00,D,已出货未退款,已提现
107,DD2017081674930027578042390175,4.0,4.0,85g新麦潮北海道吐司,2017-01-03 15:55:00,D,已出货未退款,已提现
109,DD201708101522254667AE7030033,3.0,3.0,果粒橙,2017-01-03 16:17:00,D,已出货未退款,已提现
116,DD201705261400221383FA5076D62,1.5,1.5,小鱼仔,2017-01-03 16:25:00,D,已出货未退款,已提现
119,DD20170816749300291744895788048,1.5,1.5,45g双汇泡面拍挡,2017-01-03 19:23:00,D,已出货未退款,已提现
121,DD20170816749300305276684956068,2.4,2.4,20g咪咪虾条马来西亚风味,2017-01-03 20:41:00,D,已出货未退款,已提现
135,DD201708167493758322822398076,3.0,3.0,250ml维他奶低糖原味,2017-01-04 08:59:00,D,已出货未退款,已提现
136,DD2017081017485264F8C3FA7A7CC,1.5,1.5,鸭翅,2017-01-04 08:59:00,D,已出货未退款,已提现
