,月,每月的每单平均交易额,日均订单量
0,1,4.328496042216359,12.225806451612904
1,2,3.8260869565217392,7.392857142857143
2,3,3.7699619771863118,8.483870967741936
3,4,4.403678474114441,24.466666666666665
4,5,4.726742712294043,25.451612903225808
5,6,4.501700318809777,62.733333333333334
6,7,3.988350785340314,24.64516129032258
7,8,3.913582208101668,40.61290322580645
8,9,4.427294398092968,55.93333333333333
9,10,4.273330324909748,71.48387096774194
10,11,4.352393206381884,64.76666666666667
11,12,3.943043295502312,76.74193548387096
