,月,每月的每单平均交易额,日均订单量
0,1,3.692664092664093,8.35483870967742
1,2,3.0886524822695036,5.035714285714286
2,3,4.305729166666667,6.193548387096774
3,4,3.7902934537246047,14.766666666666667
4,5,4.241312056737589,18.193548387096776
5,6,4.025961538461538,34.666666666666664
6,7,4.229652996845426,10.225806451612904
7,8,3.316503496503496,23.06451612903226
8,9,3.899389623601221,32.766666666666666
9,10,3.8842327150084324,38.25806451612903
10,11,3.8623140495867765,40.333333333333336
11,12,3.572579675285629,53.645161290322584
