,月,每月的每单平均交易额,日均订单量
0,1,4.680225988700565,11.419354838709678
1,2,3.638372093023256,9.214285714285714
2,3,4.305714285714286,11.290322580645162
3,4,4.159888268156425,29.833333333333332
4,5,4.4109907120743035,41.67741935483871
5,6,3.8178557655225602,86.43333333333334
6,7,3.919311193111931,26.225806451612904
7,8,3.804470854555744,57.0
8,9,4.125374939525884,137.8
9,10,3.6761253150882243,89.58064516129032
10,11,4.283227091633466,167.33333333333334
11,12,4.1689729397293975,104.90322580645162
