,商品,总实际金额,销售量,平均单价,离差标准化销售量,cluster,销量标签
0,68g好丽友巧克力派2枚,119.5,27,4.425925925925926,0.05084745762711865,0,滞销
1,40g双汇玉米热狗肠,379.5,182,2.0851648351648353,0.3427495291902072,2,热销
2,430g泰奇八宝粥,428.5,66,6.492424242424242,0.12429378531073447,2,热销
3,48g好丽友薯愿香烤原味,144.0,28,5.142857142857143,0.05273069679849341,0,滞销
4,600ml可口可乐,184.0,43,4.27906976744186,0.08097928436911488,0,滞销
5,营养快线,1036.0,255,4.0627450980392155,0.480225988700565,1,正常
6,330ml伊利畅意乳酸菌原味,466.5,74,6.304054054054054,0.1393596986817326,2,热销
7,160g盼盼手撕面包,213.0,28,7.607142857142857,0.05273069679849341,0,滞销
8,茉莉蜜茶,131.0,42,3.119047619047619,0.07909604519774012,0,滞销
9,鸭翅,256.5,152,1.6875,0.2862523540489642,2,热销
10,85g统一老坛酸菜牛肉面,568.0,99,5.737373737373737,0.1864406779661017,2,热销
11,怡宝,110.0,55,2.0,0.10357815442561205,0,滞销
12,500ml农夫果园 (芒果+菠萝+番石榴),173.0,31,5.580645161290323,0.0583804143126177,0,滞销
13,150g洽洽原香瓜子,75.5,11,6.863636363636363,0.02071563088512241,0,滞销
14,250ml维他原味豆奶,630.1,176,3.5801136363636363,0.3314500941619586,2,热销
15,100g卫龙点心面黑椒牛排味,40.6,6,6.766666666666667,0.011299435028248588,0,滞销
16,咪咪虾条马来西亚风味,50.400000000000006,40,1.2600000000000002,0.07532956685499058,0,滞销
17,30g无穷农场盐_鸡蛋,922.0,264,3.492424242424242,0.4971751412429379,1,正常
18,55g奥利奥原味芝士饼干,206.5,50,4.13,0.09416195856873823,0,滞销
19,250ml维他柠檬茶,733.0,181,4.0497237569060776,0.3408662900188324,2,热销
20,东鹏特饮,1583.5,448,3.5345982142857144,0.8436911487758946,1,正常
21,卫龙大面筋,458.0,151,3.033112582781457,0.2843691148775895,2,热销
22,可口可乐最新款,165.5,55,3.0090909090909093,0.10357815442561205,0,滞销
23,红牛,1016.0,166,6.120481927710843,0.3126177024482109,2,热销
24,统一冰红茶,687.5,228,3.0153508771929824,0.4293785310734463,2,热销
25,268ml雀巢咖啡丝滑拿铁,569.5,91,6.258241758241758,0.1713747645951036,2,热销
26,阿萨姆奶茶,1307.5,326,4.0107361963190185,0.6139359698681732,1,正常
27,250ml燕塘甜牛奶,597.5,126,4.742063492063492,0.23728813559322035,2,热销
28,卫龙亲嘴烧红烧牛肉味,88.5,45,1.9666666666666666,0.0847457627118644,0,滞销
29,13g无穷烤鸡小腿蜂蜜味,860.5,201,4.281094527363184,0.3785310734463277,2,热销
30,32g卫龙亲嘴烧,417.60000000000014,151,2.7655629139072855,0.2843691148775895,2,热销
31,32g卫龙亲嘴烧红烧牛肉味,201.60000000000005,75,2.6880000000000006,0.14124293785310735,2,热销
32,王老吉（罐）,255.0,68,3.75,0.128060263653484,2,热销
33,旺仔牛奶,61.29999999999999,15,4.086666666666666,0.02824858757062147,0,滞销
34,145ml旺仔牛奶盒装,523.0,131,3.9923664122137406,0.24670433145009416,2,热销
35,500ml营养快线原味,27.0,6,4.5,0.011299435028248588,0,滞销
