,商品,总实际金额,销售量,平均单价,离差标准化销售量,cluster,销量标签
0,68g好丽友巧克力派2枚,161.0,33,4.878787878787879,0.02459016393442623,0,滞销
1,40g双汇玉米热狗肠,423.5,193,2.194300518134715,0.14381520119225039,1,正常
2,430g泰奇八宝粥,510.5,81,6.302469135802469,0.06035767511177347,0,滞销
3,48g好丽友薯愿香烤原味,89.0,18,4.944444444444445,0.013412816691505217,0,滞销
4,600ml可口可乐,311.5,87,3.5804597701149423,0.06482861400894188,0,滞销
5,营养快线,1830.0,425,4.305882352941176,0.3166915052160954,1,正常
6,330ml伊利畅意乳酸菌原味,632.0,93,6.795698924731183,0.06929955290611028,0,滞销
7,160g盼盼手撕面包,304.0,46,6.608695652173913,0.03427719821162444,0,滞销
8,茉莉蜜茶,107.0,35,3.057142857142857,0.02608047690014903,0,滞销
9,鸭翅,357.5,204,1.7524509803921569,0.15201192250372578,1,正常
10,85g统一老坛酸菜牛肉面,515.0,99,5.202020202020202,0.07377049180327869,0,滞销
11,怡宝,113.0,38,2.973684210526316,0.028315946348733235,0,滞销
12,500ml农夫果园 (芒果+菠萝+番石榴),124.5,25,4.98,0.018628912071535022,0,滞销
13,150g洽洽原香瓜子,142.5,21,6.785714285714286,0.01564828614008942,0,滞销
14,250ml维他原味豆奶,732.6,229,3.1991266375545853,0.1706408345752608,1,正常
15,100g卫龙点心面黑椒牛排味,29.0,5,5.8,0.0037257824143070045,0,滞销
16,咪咪虾条马来西亚风味,43.800000000000004,25,1.7520000000000002,0.018628912071535022,0,滞销
17,30g无穷农场盐_鸡蛋,827.5,243,3.405349794238683,0.1810730253353204,1,正常
18,55g奥利奥原味芝士饼干,172.0,46,3.739130434782609,0.03427719821162444,0,滞销
19,250ml维他柠檬茶,827.0,236,3.5042372881355934,0.17585692995529062,1,正常
20,东鹏特饮,1715.0,488,3.514344262295082,0.36363636363636365,1,正常
21,卫龙大面筋,581.0,193,3.010362694300518,0.14381520119225039,1,正常
22,可口可乐最新款,345.5,116,2.978448275862069,0.08643815201192251,0,滞销
23,红牛,1201.5,198,6.068181818181818,0.14754098360655737,1,正常
24,统一冰红茶,1116.5,334,3.342814371257485,0.2488822652757079,1,正常
25,268ml雀巢咖啡丝滑拿铁,662.5,94,7.047872340425532,0.07004470938897168,0,滞销
26,阿萨姆奶茶,1931.0,457,4.225382932166302,0.3405365126676602,1,正常
27,250ml燕塘甜牛奶,574.0,131,4.3816793893129775,0.09761549925484352,1,正常
28,卫龙亲嘴烧红烧牛肉味,27.0,8,3.375,0.005961251862891207,0,滞销
29,13g无穷烤鸡小腿蜂蜜味,684.5,168,4.074404761904762,0.12518628912071536,1,正常
30,32g卫龙亲嘴烧,228.60000000000005,85,2.689411764705883,0.06333830104321908,0,滞销
31,32g卫龙亲嘴烧红烧牛肉味,104.39999999999999,47,2.2212765957446807,0.03502235469448584,0,滞销
32,王老吉（罐）,756.5,201,3.763681592039801,0.1497764530551416,1,正常
33,旺仔牛奶,19.6,6,3.266666666666667,0.004470938897168405,0,滞销
34,145ml旺仔牛奶盒装,614.0,172,3.5697674418604652,0.12816691505216096,1,正常
35,500ml营养快线原味,72.0,14,5.142857142857143,0.010432190760059613,0,滞销
36,雪碧最新款,428.0,139,3.079136690647482,0.10357675111773472,1,正常
37,维他奶,263.0,93,2.827956989247312,0.06929955290611028,0,滞销
38,伊利优酸乳,491.0,179,2.7430167597765363,0.13338301043219075,1,正常
39,500ml统一阿萨姆奶茶,427.0,78,5.4743589743589745,0.05812220566318927,0,滞销
40,500ml加多宝,210.0,40,5.25,0.029806259314456036,0,滞销
41,5片装益达绿箭口香糖,30.0,14,2.142857142857143,0.010432190760059613,0,滞销
42,统一来一桶香辣老坛酸菜牛肉面,22.0,4,5.5,0.0029806259314456036,0,滞销
43,无穷农场盐_鸡蛋,38.0,12,3.1666666666666665,0.00894187779433681,0,滞销
44,12g劲仔小鱼麻辣味,246.60000000000002,100,2.466,0.07451564828614009,0,滞销
45,250ml燕塘红枣牛奶,565.5,114,4.9605263157894735,0.08494783904619971,0,滞销
46,怡宝纯净水,3478.5,1342,2.592026825633383,1.0,2,热销
47,250ml燕塘原味酸奶,622.5,130,4.788461538461538,0.09687034277198212,1,正常
48,85g嘉士利果乐果香夹心饼干蓝莓味,229.5,51,4.5,0.038002980625931444,0,滞销
49,85g新麦潮北海道吐司,382.0,124,3.0806451612903225,0.09239940387481371,0,滞销
50,双汇玉米热狗肠,51.5,23,2.239130434782609,0.01713859910581222,0,滞销
51,250ml红牛,817.5,99,8.257575757575758,0.07377049180327869,0,滞销
52,2g韩国海牌海苔,145.89999999999998,65,2.2446153846153845,0.04843517138599106,0,滞销
53,脉动,1872.0,431,4.34338747099768,0.3211624441132638,1,正常
54,益力多100g*5瓶,92.5,8,11.5625,0.005961251862891207,0,滞销
55,银鹭八宝粥,480.0,120,4.0,0.08941877794336811,0,滞销
56,越南LIPO奶味面包干100g,16.0,2,8.0,0.0014903129657228018,0,滞销
57,加多宝,27.0,6,4.5,0.004470938897168405,0,滞销
58,脉动（青柠）,40.0,9,4.444444444444445,0.0067064083457526085,0,滞销
59,奥利奥原味芝士,28.0,7,4.0,0.005216095380029807,0,滞销
60,四洲粟一烧烧烤味,45.0,5,9.0,0.0037257824143070045,0,滞销
61,75g新麦潮天然酵母面包（北海道牛奶风味）,188.5,68,2.7720588235294117,0.05067064083457526,0,滞销
62,丽芝士纳宝帝奶酪威化饼干,38.5,11,3.5,0.00819672131147541,0,滞销
63,85g新麦潮手撕面包（提子味）,400.0,117,3.4188034188034186,0.08718330849478391,0,滞销
64,诗竹竹纤维面巾纸,57.59999999999999,12,4.799999999999999,0.00894187779433681,0,滞销
65,雀巢咖啡,225.0,33,6.818181818181818,0.02459016393442623,0,滞销
66,果粒橙,900.0,245,3.673469387755102,0.1825633383010432,1,正常
67,威化饼干,7.0,2,3.5,0.0014903129657228018,0,滞销
68,香豆干,212.0,194,1.092783505154639,0.14456035767511177,1,正常
69,优益C活菌型乳酸菌饮品,67.2,5,13.440000000000001,0.0037257824143070045,0,滞销
70,78g卫龙亲嘴语辣条,327.5,69,4.746376811594203,0.05141579731743666,0,滞销
71,可乐可乐,65.0,15,4.333333333333333,0.011177347242921014,0,滞销
72,小鱼仔,172.0,146,1.178082191780822,0.10879284649776454,1,正常
73,维他奶（巧克力味）,14.0,4,3.5,0.0029806259314456036,0,滞销
74,45g双汇泡面拍挡,95.0,55,1.7272727272727273,0.040983606557377046,0,滞销
75,20g咪咪虾条马来西亚风味,298.1,149,2.0006711409395974,0.11102831594634874,1,正常
76,维他原味豆奶,63.0,17,3.7058823529411766,0.012667660208643815,0,滞销
77,100g*5瓶益力多,733.0,42,17.452380952380953,0.03129657228017884,0,滞销
78,可口可乐330ml,622.5,212,2.936320754716981,0.15797317436661698,1,正常
79,250ml维他椰子植物蛋白饮料,24.5,6,4.083333333333333,0.004470938897168405,0,滞销
80,40g乐事薯片黄瓜味,116.5,22,5.295454545454546,0.01639344262295082,0,滞销
81,80g四洲粟一烧烧烤味,229.0,31,7.387096774193548,0.023099850968703428,0,滞销
82,250ml维他奶低糖原味,66.0,18,3.6666666666666665,0.013412816691505217,0,滞销
83,86g合味道浓猪骨味,73.0,11,6.636363636363637,0.00819672131147541,0,滞销
84,泰奇八宝粥,75.5,11,6.863636363636363,0.00819672131147541,0,滞销
85,58g丽芝士纳宝帝奶酪威化饼干,218.5,62,3.524193548387097,0.046199701937406856,0,滞销
86,70g乐事薯片黄瓜味,196.4,29,6.772413793103448,0.021609538002980627,0,滞销
87,上好佳田园薯片,40.5,10,4.05,0.007451564828614009,0,滞销
88,80g香飘飘椰果奶茶原味,85.5,17,5.029411764705882,0.012667660208643815,0,滞销
89,600ml脉动青柠,188.5,38,4.9605263157894735,0.028315946348733235,0,滞销
90,86g合味道海鲜风味,711.5,107,6.649532710280374,0.07973174366616989,0,滞销
91,14g德芙巧克力,0.0,0,,0.0,0,滞销
92,旺仔牛奶145ml,12.0,4,3.0,0.0029806259314456036,0,滞销
93,统一绿茶,670.5,209,3.208133971291866,0.1557377049180328,1,正常
94,205g伊利安慕希原味,470.5,66,7.128787878787879,0.04918032786885246,0,滞销
95,34g公仔迷你杯牛肉味,42.5,13,3.269230769230769,0.009687034277198211,0,滞销
96,维他奶黑豆奶饮品,0.0,0,,0.0,0,滞销
97,450ml美汁源果粒橙,387.0,87,4.448275862068965,0.06482861400894188,0,滞销
98,无穷烤鸡小腿（蜂蜜）,135.0,22,6.136363636363637,0.01639344262295082,0,滞销
99,188g澳门永辉鸡仔饼,391.0,13,30.076923076923077,0.009687034277198211,0,滞销
100,480ml小茗同学冷泡青柠红茶,224.5,39,5.756410256410256,0.029061102831594635,0,滞销
101,10g卫龙亲嘴烧香辣味,93.6,61,1.5344262295081967,0.045454545454545456,0,滞销
102,香脆肠,86.5,63,1.373015873015873,0.04694485842026826,0,滞销
103,熊字饼,360.0,112,3.2142857142857144,0.08345752608047691,0,滞销
104,芙蓉王,1071.0,43,24.906976744186046,0.03204172876304024,0,滞销
105,芬达330ml,612.5,198,3.0934343434343434,0.14754098360655737,1,正常
106,咪咪,20.0,19,1.0526315789473684,0.014157973174366617,0,滞销
107,伊利纯牛奶,529.5,175,3.025714285714286,0.13040238450074515,1,正常
108,37.5g费列罗榛果威化巧克力3颗,128.0,10,12.8,0.007451564828614009,0,滞销
109,劲仔小鱼（卤香味）,13.5,9,1.5,0.0067064083457526085,0,滞销
110,50g上好佳日式鱼果,66.5,14,4.75,0.010432190760059613,0,滞销
111,70g乐事薯片（黄瓜味）,74.5,13,5.730769230769231,0.009687034277198211,0,滞销
112,安慕希酸奶,66.0,11,6.0,0.00819672131147541,0,滞销
113,口味王槟榔（绿）,940.0,94,10.0,0.07004470938897168,0,滞销
114,40g呀土豆薯片滋香烤鸡味,126.0,26,4.846153846153846,0.019374068554396422,0,滞销
115,冰糖雪梨,202.5,59,3.4322033898305087,0.043964232488822655,0,滞销
116,250ml维他奶黑豆奶饮品,54.0,12,4.5,0.00894187779433681,0,滞销
117,40g乐事美国经典原味,115.5,24,4.8125,0.01788375558867362,0,滞销
118,250ml维他奶巧克力味,305.1,95,3.2115789473684213,0.07078986587183309,0,滞销
119,百事可乐500ml,307.0,102,3.0098039215686274,0.07600596125186289,0,滞销
120,王老吉（500ml）,1379.5,310,4.45,0.23099850968703428,1,正常
121,味之不规则饼干（芝士味）,27.5,3,9.166666666666666,0.0022354694485842027,0,滞销
122,70g乐事薯片原味,73.5,12,6.125,0.00894187779433681,0,滞销
123,250ML东鹏特饮,158.0,27,5.851851851851852,0.020119225037257823,0,滞销
124,巧克力奶油味蛋糕,16.0,3,5.333333333333333,0.0022354694485842027,0,滞销
125,260g马来西亚进口茱蒂丝口口香饼干,666.0,18,37.0,0.013412816691505217,0,滞销
126,50g双层百力滋奶咖味,9.0,2,4.5,0.0014903129657228018,0,滞销
127,可口可乐（500ml）,181.5,57,3.1842105263157894,0.042473919523099854,0,滞销
128,110g顺宝九制话梅,174.60000000000002,38,4.594736842105264,0.028315946348733235,0,滞销
129,燕塘红枣牛奶,49.5,9,5.5,0.0067064083457526085,0,滞销
130,印尼芝士威化饼干,97.0,32,3.03125,0.02384500745156483,0,滞销
131,100g果王咸柑桔罐装,52.0,8,6.5,0.005961251862891207,0,滞销
132,150g健能酸奶原味,246.0,35,7.0285714285714285,0.02608047690014903,0,滞销
133,220g宝丰龙龟苓膏,51.0,10,5.1,0.007451564828614009,0,滞销
134,雪碧（500ml）,468.5,137,3.4197080291970803,0.10208643815201192,1,正常
135,10g越南LIPO奶味面包干,0.0,0,,0.0,0,滞销
136,30g元朗小蛋卷,52.5,20,2.625,0.014903129657228018,0,滞销
137,600ml雪碧,142.10000000000002,51,2.786274509803922,0.038002980625931444,0,滞销
138,370g泰奇八宝粥,131.0,20,6.55,0.014903129657228018,0,滞销
139,乐虎（380ml）,49.0,12,4.083333333333333,0.00894187779433681,0,滞销
140,凤爪,43.0,21,2.0476190476190474,0.01564828614008942,0,滞销
141,180ml雀巢咖啡罐装,162.0,22,7.363636363636363,0.01639344262295082,0,滞销
142,65g卫龙亲嘴豆皮,121.5,29,4.189655172413793,0.021609538002980627,0,滞销
143,70g乖媳妇野山泡椒凤爪,220.5,61,3.6147540983606556,0.045454545454545456,0,滞销
144,148g富甲一方紫薯仔,234.0,34,6.882352941176471,0.02533532041728763,0,滞销
145,新麦潮天然酵母面包,0.0,0,,0.0,0,滞销
146,雪碧330ml,298.5,103,2.8980582524271843,0.07675111773472429,0,滞销
147,好吃点,50.0,13,3.8461538461538463,0.009687034277198211,0,滞销
148,250ml统一麦香奶茶,37.5,14,2.6785714285714284,0.010432190760059613,0,滞销
149,康师傅矿泉水,21.1,17,1.2411764705882353,0.012667660208643815,0,滞销
150,103g康师傅红烧牛肉面,55.0,10,5.5,0.007451564828614009,0,滞销
151,205ml安慕希蓝莓味,29.0,5,5.8,0.0037257824143070045,0,滞销
152,12g劲仔小鱼卤香味,36.0,16,2.25,0.011922503725782414,0,滞销
153,40g呀土豆番茄酱味,115.5,23,5.021739130434782,0.01713859910581222,0,滞销
154,80g马赛克香蕉片,98.0,13,7.538461538461538,0.009687034277198211,0,滞销
155,145g果王迷你山楂包装,93.0,14,6.642857142857143,0.010432190760059613,0,滞销
156,燕塘原味酸奶,22.5,4,5.625,0.0029806259314456036,0,滞销
157,劲仔小鱼（麻辣味）,15.0,5,3.0,0.0037257824143070045,0,滞销
158,20g马来西亚风味咪咪蟹味粒0219,59.400000000000006,30,1.9800000000000002,0.022354694485842028,0,滞销
159,50g上好佳田园薯片番茄味,134.0,32,4.1875,0.02384500745156483,0,滞销
160,225g味之不规则饼干芝士味,167.0,19,8.789473684210526,0.014157973174366617,0,滞销
161,美汁源果粒橙,64.0,13,4.923076923076923,0.009687034277198211,0,滞销
162,维他柠檬茶,240.5,79,3.0443037974683542,0.05886736214605067,0,滞销
163,钙芝奶酪味高钙威化饼干,0.0,0,,0.0,0,滞销
164,好吃点小饼干,35.0,35,1.0,0.02608047690014903,0,滞销
165,口味王槟榔（红）,465.0,31,15.0,0.023099850968703428,0,滞销
166,55g奥利奥迷你杯夹心小饼干杯装原味,16.5,3,5.5,0.0022354694485842027,0,滞销
167,83g汤达人酸辣豚骨拉面,13.0,2,6.5,0.0014903129657228018,0,滞销
168,韩国海牌海苔,12.6,6,2.1,0.004470938897168405,0,滞销
169,52g旺旺仙贝,139.5,31,4.5,0.023099850968703428,0,滞销
170,盼盼手撕面包,8.0,2,4.0,0.0014903129657228018,0,滞销
171,80g香飘飘椰果奶茶麦香味,63.0,13,4.846153846153846,0.009687034277198211,0,滞销
172,55g奥利奥原味夹心饼干,93.0,17,5.470588235294118,0.012667660208643815,0,滞销
173,小茗同学冷泡茶（乳酸菌味）,6.0,1,6.0,0.0007451564828614009,0,滞销
174,美年达（罐）,59.0,22,2.6818181818181817,0.01639344262295082,0,滞销
175,劲仔小鱼,0.0,0,,0.0,0,滞销
176,500ml统一冰糖雪梨,7.0,2,3.5,0.0014903129657228018,0,滞销
177,145ml旺仔牛奶罐装,9.0,3,3.0,0.0022354694485842027,0,滞销
178,107g出前一丁桶面酱香牛肉王,18.0,3,6.0,0.0022354694485842027,0,滞销
179,珠江纯生啤酒,17.0,4,4.25,0.0029806259314456036,0,滞销
180,多芙利香草奶油味蛋糕,12.0,2,6.0,0.0014903129657228018,0,滞销
181,250ml王老吉盒装,67.5,21,3.2142857142857144,0.01564828614008942,0,滞销
182,91g徐福记凤梨酥,221.0,35,6.314285714285714,0.02608047690014903,0,滞销
183,150抽诗竹竹纤维面巾纸,14.399999999999999,3,4.8,0.0022354694485842027,0,滞销
184,480ml小茗同学冷泡溜溜哒茶,36.0,4,9.0,0.0029806259314456036,0,滞销
185,40g上好佳日式鱼果,74.0,17,4.352941176470588,0.012667660208643815,0,滞销
186,40g卫龙点心面黑椒牛排味,35.0,5,7.0,0.0037257824143070045,0,滞销
187,40g乐事薯片墨西哥鸡汁番茄味,58.5,12,4.875,0.00894187779433681,0,滞销
188,尖叫,64.0,15,4.266666666666667,0.011177347242921014,0,滞销
189,和成天下（红）,0.0,0,,0.0,0,滞销
190,10g越南LIPO奶味面包干0015,0.0,0,,0.0,0,滞销
191,雪碧,10.5,3,3.5,0.0022354694485842027,0,滞销
192,50g双层百力滋特浓番茄味,9.0,2,4.5,0.0014903129657228018,0,滞销
193,123gUFO炒面XO酱海鲜风味,0.0,0,,0.0,0,滞销
194,顺宝九制梅,10.0,2,5.0,0.0014903129657228018,0,滞销
195,合味道（海鲜风味）,77.0,11,7.0,0.00819672131147541,0,滞销
196,34g公仔迷你杯风味排骨味,21.0,5,4.2,0.0037257824143070045,0,滞销
197,日式鱼果,12.0,2,6.0,0.0014903129657228018,0,滞销
198,120g达利园蔓越莓提子面包,0.0,0,,0.0,0,滞销
199,56g益达无糖口香糖,0.0,0,,0.0,0,滞销
200,50g马赛克手撕鱿鱼条,103.6,14,7.3999999999999995,0.010432190760059613,0,滞销
201,70g乐事薯片（原味）,50.5,9,5.611111111111111,0.0067064083457526085,0,滞销
202,卫龙亲嘴烧麦辣鸡汁味,7.5,4,1.875,0.0029806259314456036,0,滞销
203,燕塘甜牛奶,49.5,11,4.5,0.00819672131147541,0,滞销
204,乖媳妇野山椒风爪,2.8,1,2.8,0.0007451564828614009,0,滞销
205,500ML宝矿力,38.5,7,5.5,0.005216095380029807,0,滞销
