,商品,总实际金额,销售量,平均单价,离差标准化销售量,cluster,销量标签,cluster2,金额标签,售货机画像
46,怡宝纯净水,4619.5,1705,2.709384164222874,1.0,2,热销,0,低价,低价热销
53,脉动,4510.5,996,4.528614457831325,0.5841642228739002,2,热销,0,低价,低价热销
5,营养快线,3532.5,805,4.388198757763975,0.47214076246334313,2,热销,0,低价,低价热销
26,阿萨姆奶茶,3485.5,792,4.400883838383838,0.4645161290322581,2,热销,0,低价,低价热销
20,东鹏特饮,2615.0,709,3.6882933709449928,0.4158357771260997,2,热销,0,低价,低价热销
24,统一冰红茶,2174.5,626,3.4736421725239617,0.3671554252199413,2,热销,0,低价,低价热销
93,统一绿茶,1716.0,490,3.5020408163265304,0.2873900293255132,0,滞销,0,低价,低价滞销
66,果粒橙,1743.0,470,3.7085106382978723,0.2756598240469208,0,滞销,0,低价,低价滞销
120,王老吉（500ml）,1880.0,417,4.508393285371703,0.24457478005865102,0,滞销,0,低价,低价滞销
1,40g双汇玉米热狗肠,876.0,415,2.1108433734939758,0.2434017595307918,0,滞销,0,低价,低价滞销
32,王老吉（罐）,1579.0,410,3.851219512195122,0.2404692082111437,0,滞销,0,低价,低价滞销
19,250ml维他柠檬茶,1502.0,397,3.783375314861461,0.23284457478005866,0,滞销,0,低价,低价滞销
14,250ml维他原味豆奶,1296.0,391,3.3145780051150897,0.22932551319648095,0,滞销,0,低价,低价滞销
105,芬达330ml,1233.0,382,3.2277486910994764,0.22404692082111438,0,滞销,0,低价,低价滞销
38,伊利优酸乳,1019.0,375,2.7173333333333334,0.21994134897360704,0,滞销,0,低价,低价滞销
17,30g无穷农场盐_鸡蛋,1087.0,341,3.187683284457478,0.2,0,滞销,0,低价,低价滞销
36,雪碧最新款,990.5,309,3.205501618122977,0.1812316715542522,0,滞销,0,低价,低价滞销
23,红牛,1954.5,289,6.762975778546712,0.16950146627565982,0,滞销,2,高价,高价滞销
9,鸭翅,502.0,282,1.7801418439716312,0.1653958944281525,0,滞销,0,低价,低价滞销
75,20g咪咪虾条马来西亚风味,479.20000000000005,260,1.8430769230769233,0.15249266862170088,0,滞销,0,低价,低价滞销
68,香豆干,300.0,251,1.1952191235059761,0.1472140762463343,0,滞销,0,低价,低价滞销
47,250ml燕塘原味酸奶,1132.0,249,4.546184738955823,0.14604105571847506,0,滞销,0,低价,低价滞销
78,可口可乐330ml,762.0,244,3.122950819672131,0.14310850439882697,0,滞销,0,低价,低价滞销
107,伊利纯牛奶,747.5,241,3.1016597510373445,0.14134897360703813,0,滞销,0,低价,低价滞销
27,250ml燕塘甜牛奶,1021.0,232,4.400862068965517,0.13607038123167156,0,滞销,0,低价,低价滞销
34,145ml旺仔牛奶盒装,775.0,228,3.3991228070175437,0.13372434017595308,0,滞销,0,低价,低价滞销
55,银鹭八宝粥,919.0,220,4.177272727272728,0.12903225806451613,0,滞销,0,低价,低价滞销
29,13g无穷烤鸡小腿蜂蜜味,850.0,212,4.009433962264151,0.12434017595307918,0,滞销,0,低价,低价滞销
90,86g合味道海鲜风味,1269.5,210,6.045238095238095,0.12316715542521994,0,滞销,2,高价,高价滞销
45,250ml燕塘红枣牛奶,957.5,206,4.648058252427185,0.12082111436950146,0,滞销,0,低价,低价滞销
127,可口可乐（500ml）,740.0,202,3.6633663366336635,0.11847507331378299,0,滞销,0,低价,低价滞销
25,268ml雀巢咖啡丝滑拿铁,1291.0,197,6.553299492385787,0.1155425219941349,0,滞销,2,高价,高价滞销
103,熊字饼,641.0,191,3.356020942408377,0.11202346041055719,0,滞销,0,低价,低价滞销
44,12g劲仔小鱼麻辣味,424.4,183,2.319125683060109,0.10733137829912023,0,滞销,0,低价,低价滞销
49,85g新麦潮北海道吐司,571.0,181,3.154696132596685,0.106158357771261,0,滞销,0,低价,低价滞销
10,85g统一老坛酸菜牛肉面,1003.5,180,5.575,0.10557184750733138,0,滞销,2,高价,高价滞销
146,雪碧330ml,533.0,173,3.0809248554913293,0.10146627565982405,0,滞销,0,低价,低价滞销
51,250ml红牛,1476.4,172,8.583720930232559,0.10087976539589442,0,滞销,2,高价,高价滞销
134,雪碧（500ml）,628.6,172,3.6546511627906977,0.10087976539589442,0,滞销,0,低价,低价滞销
